Estado|Fecha del Vuelo|Hora de Salida|Nueva Hora de Salida|Destino|Vuelo|Gate
CONFIRMADO|14/10/2024|23:00|23:00|MADRID|LA 2484|21
CONFIRMADO|14/10/2024|23:05|23:05|NEWARK|UA 887|23
CONFIRMADO|14/10/2024|23:20|23:20|ATLANTA|DL 150|17
PROGRAMADO|14/10/2024|23:20|23:20|RIO DE JANEIRO|LA 2404|-
PROGRAMADO|14/10/2024|23:30|23:30|SANTIAGO|JA 7731|-
PROGRAMADO|14/10/2024|23:40|23:40|ANTOFAGASTA|LA 2373|-
PROGRAMADO|14/10/2024|23:45|23:45|MIAMI|AA 988|16
PROGRAMADO|14/10/2024|23:50|23:50|MONTEVIDEO|LA 2420|-
PROGRAMADO|14/10/2024|23:50|23:50|BUENOS AIRES|LA 1437|-
PROGRAMADO|14/10/2024|23:55|23:55|BUENOS AIRES|LA 2465|-
PROGRAMADO|15/10/2024|00:05|00:05|BOGOTA|LA 2444|-
PROGRAMADO|15/10/2024|00:05|00:05|NUEVA YORK|LA 2468|-
PROGRAMADO|15/10/2024|00:05|00:05|SANTIAGO|LA 529|-
PROGRAMADO|15/10/2024|00:15|00:15|SANTIAGO|H2 805|21
PROGRAMADO|15/10/2024|00:15|00:15|MEXICO|AM 019|18
PROGRAMADO|15/10/2024|00:15|00:15|SAO PAULO|LA 8005|19
PROGRAMADO|15/10/2024|00:15|00:15|MIAMI|LA 2480|20
PROGRAMADO|15/10/2024|00:25|00:25|BUENOS AIRES|H2 5571|24
PROGRAMADO|15/10/2024|00:30|00:30|QUITO|LA 2486|-
PROGRAMADO|15/10/2024|00:30|00:30|CORDOBA|LA 2364|-
PROGRAMADO|15/10/2024|00:30|00:30|BRASILIA|LA 2402|-
PROGRAMADO|15/10/2024|00:35|00:35|SAO PAULO|H2 5564|-
PROGRAMADO|15/10/2024|00:40|00:40|SANTA CRUZ|OB 741|-
PROGRAMADO|15/10/2024|00:50|00:50|SANTIAGO|LA 523|-
PROGRAMADO|15/10/2024|00:55|00:55|SANTA CRUZ|LA 2406|17
CONFIRMADO|15/10/2024|01:00|00:45|MIAMI|H8 5590|-
PROGRAMADO|15/10/2024|01:00|01:00|PANAMA|CM 338|-
PROGRAMADO|15/10/2024|01:00|01:00|ASUNCION|LA 1321|-
PROGRAMADO|15/10/2024|01:00|01:00|LOS ANGELES|LA 2478|22
